U-Turn Detection Debug Log
==================================================
Checking 1 -> 55: Travel = 1.82m, Straight = 0.61m
Checking 1 -> 56: Travel = 1.85m, Straight = 0.58m
Checking 1 -> 57: Travel = 1.89m, Straight = 0.55m
Checking 1 -> 58: Travel = 1.94m, Straight = 0.52m
Checking 1 -> 59: Travel = 2.01m, Straight = 0.49m
Checking 1 -> 60: Travel = 2.03m, Straight = 0.48m
Checking 1 -> 61: Travel = 2.07m, Straight = 0.52m
Checking 1 -> 62: Travel = 2.17m, Straight = 0.62m
Checking 1 -> 63: Travel = 2.17m, Straight = 0.62m
Checking 1 -> 64: Travel = 2.17m, Straight = 0.62m
Checking 1 -> 65: Travel = 2.18m, Straight = 0.62m
Checking 1 -> 66: Travel = 2.22m, Straight = 0.62m
Checking 1 -> 67: Travel = 2.27m, Straight = 0.57m
Checking 2 -> 12: Travel = 0.26m, Straight = 0.24m
Checking 2 -> 13: Travel = 0.28m, Straight = 0.25m
Checking 2 -> 14: Travel = 0.31m, Straight = 0.27m
Checking 2 -> 15: Travel = 0.32m, Straight = 0.28m
Checking 2 -> 16: Travel = 0.40m, Straight = 0.33m
Checking 2 -> 17: Travel = 0.41m, Straight = 0.34m
Checking 2 -> 18: Travel = 0.43m, Straight = 0.36m
Checking 2 -> 19: Travel = 0.49m, Straight = 0.39m
Checking 2 -> 20: Travel = 0.51m, Straight = 0.40m
Checking 2 -> 21: Travel = 0.52m, Straight = 0.40m
Checking 2 -> 22: Travel = 0.58m, Straight = 0.41m
Checking 2 -> 23: Travel = 0.59m, Straight = 0.41m
Checking 2 -> 24: Travel = 0.59m, Straight = 0.41m
Checking 2 -> 25: Travel = 0.60m, Straight = 0.42m
Checking 2 -> 26: Travel = 0.61m, Straight = 0.42m
Checking 2 -> 27: Travel = 0.63m, Straight = 0.41m
Checking 2 -> 28: Travel = 0.65m, Straight = 0.41m
Checking 2 -> 29: Travel = 0.67m, Straight = 0.42m
Checking 2 -> 30: Travel = 0.68m, Straight = 0.42m
Checking 2 -> 31: Travel = 0.72m, Straight = 0.43m
Checking 2 -> 32: Travel = 0.75m, Straight = 0.44m
Checking 2 -> 33: Travel = 0.82m, Straight = 0.46m
Checking 2 -> 34: Travel = 0.86m, Straight = 0.47m
Checking 2 -> 35: Travel = 0.87m, Straight = 0.48m
Checking 2 -> 36: Travel = 0.88m, Straight = 0.48m
Checking 2 -> 37: Travel = 0.90m, Straight = 0.49m
Checking 2 -> 38: Travel = 0.99m, Straight = 0.55m
Checking 2 -> 39: Travel = 1.05m, Straight = 0.60m
Checking 2 -> 40: Travel = 1.08m, Straight = 0.62m
Checking 2 -> 41: Travel = 1.16m, Straight = 0.69m
Checking 2 -> 42: Travel = 1.22m, Straight = 0.74m
Checking 2 -> 43: Travel = 1.30m, Straight = 0.81m
Checking 2 -> 44: Travel = 1.40m, Straight = 0.89m
Checking 2 -> 45: Travel = 1.42m, Straight = 0.90m
Checking 2 -> 46: Travel = 1.43m, Straight = 0.92m
Checking 2 -> 47: Travel = 1.51m, Straight = 0.86m
Checking 2 -> 48: Travel = 1.56m, Straight = 0.82m
Checking 2 -> 49: Travel = 1.60m, Straight = 0.78m
Checking 2 -> 50: Travel = 1.61m, Straight = 0.77m
Checking 2 -> 51: Travel = 1.63m, Straight = 0.76m
Checking 2 -> 52: Travel = 1.69m, Straight = 0.71m
Checking 2 -> 53: Travel = 1.74m, Straight = 0.67m
Checking 2 -> 54: Travel = 1.77m, Straight = 0.64m
Checking 2 -> 55: Travel = 1.79m, Straight = 0.62m
Checking 2 -> 56: Travel = 1.83m, Straight = 0.59m
Checking 2 -> 57: Travel = 1.87m, Straight = 0.56m
Checking 2 -> 58: Travel = 1.92m, Straight = 0.53m
Checking 2 -> 59: Travel = 1.99m, Straight = 0.49m
Checking 2 -> 60: Travel = 2.01m, Straight = 0.48m
Checking 2 -> 61: Travel = 2.05m, Straight = 0.52m
Checking 2 -> 62: Travel = 2.14m, Straight = 0.62m
Checking 2 -> 63: Travel = 2.15m, Straight = 0.62m
Checking 2 -> 64: Travel = 2.15m, Straight = 0.62m
Checking 2 -> 65: Travel = 2.16m, Straight = 0.63m
Checking 2 -> 66: Travel = 2.20m, Straight = 0.63m
Checking 2 -> 67: Travel = 2.25m, Straight = 0.57m
Checking 3 -> 13: Travel = 0.24m, Straight = 0.21m
Checking 3 -> 14: Travel = 0.27m, Straight = 0.23m
Checking 3 -> 15: Travel = 0.28m, Straight = 0.24m
Checking 3 -> 16: Travel = 0.35m, Straight = 0.30m
Checking 3 -> 17: Travel = 0.37m, Straight = 0.31m
Checking 3 -> 18: Travel = 0.39m, Straight = 0.33m
Checking 3 -> 19: Travel = 0.45m, Straight = 0.37m
Checking 3 -> 20: Travel = 0.47m, Straight = 0.37m
Checking 3 -> 21: Travel = 0.48m, Straight = 0.38m
Checking 3 -> 22: Travel = 0.53m, Straight = 0.39m
Checking 3 -> 23: Travel = 0.54m, Straight = 0.39m
Checking 3 -> 24: Travel = 0.55m, Straight = 0.39m
Checking 3 -> 25: Travel = 0.56m, Straight = 0.40m
Checking 3 -> 26: Travel = 0.57m, Straight = 0.40m
Checking 3 -> 27: Travel = 0.59m, Straight = 0.39m
Checking 3 -> 28: Travel = 0.60m, Straight = 0.40m
Checking 3 -> 29: Travel = 0.63m, Straight = 0.41m
Checking 3 -> 30: Travel = 0.64m, Straight = 0.41m
Checking 3 -> 31: Travel = 0.68m, Straight = 0.43m
Checking 3 -> 32: Travel = 0.71m, Straight = 0.43m
Checking 3 -> 33: Travel = 0.78m, Straight = 0.46m
Checking 3 -> 34: Travel = 0.81m, Straight = 0.48m
Checking 3 -> 35: Travel = 0.82m, Straight = 0.48m
Checking 3 -> 36: Travel = 0.84m, Straight = 0.49m
Checking 3 -> 37: Travel = 0.85m, Straight = 0.50m
Checking 3 -> 38: Travel = 0.95m, Straight = 0.56m
Checking 3 -> 39: Travel = 1.01m, Straight = 0.61m
Checking 3 -> 40: Travel = 1.04m, Straight = 0.64m
Checking 3 -> 41: Travel = 1.11m, Straight = 0.71m
Checking 3 -> 42: Travel = 1.18m, Straight = 0.77m
Checking 3 -> 43: Travel = 1.26m, Straight = 0.83m
Checking 3 -> 44: Travel = 1.36m, Straight = 0.92m
Checking 3 -> 45: Travel = 1.37m, Straight = 0.93m
Checking 3 -> 46: Travel = 1.39m, Straight = 0.94m
Checking 3 -> 47: Travel = 1.46m, Straight = 0.88m
Checking 3 -> 48: Travel = 1.52m, Straight = 0.84m
Checking 3 -> 49: Travel = 1.56m, Straight = 0.81m
Checking 3 -> 50: Travel = 1.57m, Straight = 0.80m
Checking 3 -> 51: Travel = 1.58m, Straight = 0.78m
Checking 3 -> 52: Travel = 1.65m, Straight = 0.73m
Checking 3 -> 53: Travel = 1.69m, Straight = 0.69m
Checking 3 -> 54: Travel = 1.72m, Straight = 0.66m
Checking 3 -> 55: Travel = 1.75m, Straight = 0.64m
Checking 3 -> 56: Travel = 1.78m, Straight = 0.61m
Checking 3 -> 57: Travel = 1.82m, Straight = 0.57m
Checking 3 -> 58: Travel = 1.87m, Straight = 0.54m
Checking 3 -> 59: Travel = 1.94m, Straight = 0.50m
Checking 3 -> 60: Travel = 1.96m, Straight = 0.49m
Checking 3 -> 61: Travel = 2.01m, Straight = 0.53m
Checking 3 -> 62: Travel = 2.10m, Straight = 0.62m
Checking 3 -> 63: Travel = 2.10m, Straight = 0.62m
Checking 3 -> 64: Travel = 2.11m, Straight = 0.63m
Checking 3 -> 65: Travel = 2.11m, Straight = 0.63m
Checking 3 -> 66: Travel = 2.15m, Straight = 0.64m
Checking 3 -> 67: Travel = 2.21m, Straight = 0.58m
Checking 4 -> 14: Travel = 0.26m, Straight = 0.23m
Checking 4 -> 15: Travel = 0.27m, Straight = 0.23m
Checking 4 -> 16: Travel = 0.35m, Straight = 0.29m
Checking 4 -> 17: Travel = 0.36m, Straight = 0.31m
Checking 4 -> 18: Travel = 0.38m, Straight = 0.32m
Checking 4 -> 19: Travel = 0.44m, Straight = 0.36m
Checking 4 -> 20: Travel = 0.46m, Straight = 0.37m
Checking 4 -> 21: Travel = 0.47m, Straight = 0.37m
Checking 4 -> 22: Travel = 0.53m, Straight = 0.38m
Checking 4 -> 23: Travel = 0.54m, Straight = 0.38m
Checking 4 -> 24: Travel = 0.54m, Straight = 0.39m
Checking 4 -> 25: Travel = 0.55m, Straight = 0.40m
Checking 4 -> 26: Travel = 0.56m, Straight = 0.39m
Checking 4 -> 27: Travel = 0.58m, Straight = 0.39m
Checking 4 -> 28: Travel = 0.60m, Straight = 0.40m
Checking 4 -> 29: Travel = 0.62m, Straight = 0.40m
Checking 4 -> 30: Travel = 0.63m, Straight = 0.41m
Checking 4 -> 31: Travel = 0.67m, Straight = 0.42m
Checking 4 -> 32: Travel = 0.70m, Straight = 0.43m
Checking 4 -> 33: Travel = 0.77m, Straight = 0.46m
Checking 4 -> 34: Travel = 0.81m, Straight = 0.48m
Checking 4 -> 35: Travel = 0.82m, Straight = 0.48m
Checking 4 -> 36: Travel = 0.83m, Straight = 0.49m
Checking 4 -> 37: Travel = 0.85m, Straight = 0.50m
Checking 4 -> 38: Travel = 0.94m, Straight = 0.56m
Checking 4 -> 39: Travel = 1.00m, Straight = 0.62m
Checking 4 -> 40: Travel = 1.03m, Straight = 0.64m
Checking 4 -> 41: Travel = 1.10m, Straight = 0.71m
Checking 4 -> 42: Travel = 1.17m, Straight = 0.77m
Checking 4 -> 43: Travel = 1.25m, Straight = 0.84m
Checking 4 -> 44: Travel = 1.35m, Straight = 0.92m
Checking 4 -> 45: Travel = 1.37m, Straight = 0.93m
Checking 4 -> 46: Travel = 1.38m, Straight = 0.95m
Checking 4 -> 47: Travel = 1.46m, Straight = 0.88m
Checking 4 -> 48: Travel = 1.51m, Straight = 0.84m
Checking 4 -> 49: Travel = 1.55m, Straight = 0.81m
Checking 4 -> 50: Travel = 1.56m, Straight = 0.80m
Checking 4 -> 51: Travel = 1.58m, Straight = 0.78m
Checking 4 -> 52: Travel = 1.64m, Straight = 0.73m
Checking 4 -> 53: Travel = 1.69m, Straight = 0.69m
Checking 4 -> 54: Travel = 1.71m, Straight = 0.66m
Checking 4 -> 55: Travel = 1.74m, Straight = 0.64m
Checking 4 -> 56: Travel = 1.78m, Straight = 0.61m
Checking 4 -> 57: Travel = 1.82m, Straight = 0.58m
Checking 4 -> 58: Travel = 1.86m, Straight = 0.54m
Checking 4 -> 59: Travel = 1.94m, Straight = 0.50m
Checking 4 -> 60: Travel = 1.96m, Straight = 0.49m
Checking 4 -> 61: Travel = 2.00m, Straight = 0.53m
Checking 4 -> 62: Travel = 2.09m, Straight = 0.62m
Checking 4 -> 63: Travel = 2.10m, Straight = 0.62m
Checking 4 -> 64: Travel = 2.10m, Straight = 0.63m
Checking 4 -> 65: Travel = 2.10m, Straight = 0.63m
Checking 4 -> 66: Travel = 2.15m, Straight = 0.64m
